Nola1261,The Soluble Chemical,5,3,1,3 Fluor 3   ,3 Oxygen 3   ,2 Oxygen 2   ,1 Fosfor 1   ,          ,Nitrogen,Lithium,,False,False,False,19-12-2023 12:03:15,
DeSniper ,The Molecular Thermodynamics,5,2,1,3 Fluor 3   ,3 Nitrogen 3   ,          ,          ,          ,,,,False,False,False,18-12-2023 16:45:51,
Madeline157,The Acidic Bond,5,2,1,3 Lithium 1 Fluor 1 ,          ,          ,          ,          ,Fluor,,Nitrogen,False,False,False,17-12-2023 11:51:20,
a_test_6,The Exothermic Solution,5,3,1,2 Lithium 1 Fluor 1 ,1 Lithium 2 Oxygen 1 ,1 Magnesium 1 Svovl 1 ,1 Fluor 1   ,1 Nitrogen 1   ,Fluor,Magnesium,Fosfor,False,False,False,12/6/2023 1:53:19 PM,
a_test_6,The Exothermic Solution,5,2,1,2 Lithium 1 Fluor 1 ,1 Fluor 1   ,          ,1 Lithium 2 Oxygen 1 ,          ,Nitrogen,Lithium,,False,False,False,12/6/2023 1:51:21 PM,
a_test_6,The Redox pH,5,3,1,1 Lithium 1   ,1 Natrium 1   ,2 Fluor 2   ,1 Klor 1   ,3 Nitrogen 3   ,,Oxygen,,False,False,False,12/6/2023 1:35:02 PM,
a_test_6,The Chemical Acid,5,2,1,          ,          ,          ,          ,1 Oxygen 1   ,,,,False,False,False,12/6/2023 1:30:03 PM,
a_test_5,The Reactive Element,5,2,1,          ,1 Nitrogen 1   ,1 Oxygen 1   ,1 Nitrogen 1   ,1 Lithium 1   ,Lithium,,Lithium,False,False,False,12/6/2023 1:09:51 PM,
a_test_5,The Isomeric Compound,5,2,1,1 Lithium 1 Fluor 1 ,          ,          ,1 Lithium 2 Oxygen 1 ,1 Lithium 1   ,,Nitrogen,Oxygen,False,False,False,12/6/2023 1:05:24 PM,
a_test_4,The Covalent Isotope,5,2,1,1 Lithium 1 Fluor 1 ,          ,1 Lithium 2 Oxygen 1 ,2 Oxygen 2   ,1 Nitrogen 1   ,,Fluor,Nitrogen,False,False,False,12/6/2023 12:33:09 PM,
a_test_3,The Chemical Thermodynamics,5,2,1,1 Oxygen 1   ,1 Oxygen 1   ,1 Oxygen 1   ,1 Nitrogen 1   ,1 Nitrogen 1   ,Lithium,,,False,False,False,12/6/2023 10:14:16 AM,
a_test_3,The Inorganic Ion,5,2,1,          ,1 Lithium 1 Fluor 1 ,          ,          ,1 Lithium 2 Oxygen 1 ,Lithium,Nitrogen,Fluor,False,False,False,12/6/2023 10:09:09 AM,
a_test_2,The Crystalline Electrolyte,5,2,1,          ,          ,1 Lithium 2 Oxygen 1 ,1 Lithium 1 Fluor 1 ,1 Fluor 1   ,Lithium,Fluor,Nitrogen,False,False,False,12/6/2023 9:36:56 AM,
a_test_1,The Aqueous Isotope,5,2,1,          ,          ,1 Lithium 2 Oxygen 1 ,1 Lithium 1 Fluor 1 ,          ,Fluor,Fluor,Nitrogen,False,False,False,12/6/2023 9:07:26 AM,
a_test_0,The Inorganic Isotope,5,3,1,1 Aluminium 2 Oxygen 3 ,1 Nitrogen 1   ,2 Lithium 2   ,1 Magnesium 1   ,          ,,,,False,False,False,12/6/2023 8:48:11 AM,
a_test_0,The Alkaline pH,5,2,1,1 Lithium 2 Oxygen 1 ,          ,1 Fluor 1   ,          ,1 Lithium 1 Fluor 1 ,Lithium,,Lithium,False,False,False,12/6/2023 8:42:07 AM,
MightyKing996,The Chemical Molecule,5,2,1,1 Lithium 1 Fluor 1 ,          ,1 Lithium 1   ,1 Lithium 2 Oxygen 1 ,2 Oxygen 2   ,Nitrogen,,Fluor,False,False,False,12/6/2023 8:19:56 AM,
c_test_6,The Molecular Concentration,5,2,1,1 Fluor 1   ,2 Oxygen 2   ,3 Lithium 3   ,          ,          ,Nitrogen,Lithium,Fluor,False,False,False,06-12-2023 13:36:32,
c_test_6,The Soluble Acid,5,2,1,1 Lithium 1   ,1 Fluor 1   ,1 Oxygen 1   ,          ,          ,,Oxygen,Fluor,False,False,False,06-12-2023 13:32:31,
c_test_6,The Alkaline Thermodynamics,5,2,1,          ,1 Lithium 1 Fluor 1 ,1 Lithium 2 Oxygen 1 ,          ,          ,Oxygen,Nitrogen,Fluor,False,False,False,06-12-2023 13:27:18,
c_test_5,The Soluble pH,5,2,1,          ,          ,1 Oxygen 1   ,1 Oxygen 1   ,1 Fluor 1   ,,,,False,False,False,06-12-2023 13:05:01,
c_test_4,The Soluble Acid,5,2,1,1 Lithium 1 Fluor 1 ,1 Lithium 2 Oxygen 1 ,          ,2 Fluor 2   ,1 Oxygen 1   ,,,,False,False,False,06-12-2023 12:28:02,
c_test_3,The Alkaline Compound,5,2,1,1 Lithium 1 Fluor 1 ,1 Fluor 1   ,1 Lithium 2 Oxygen 1 ,1 Oxygen 1   ,1 Fluor 1   ,,,,False,False,False,06-12-2023 10:09:47,
c_test_2,The Ionic Precipitate,5,2,1,1 Lithium 2 Oxygen 1 ,1 Lithium 1 Fluor 1 ,1 Fluor 1   ,1 Nitrogen 1   ,1 Nitrogen 1   ,,,,False,False,False,06-12-2023 09:35:54,
c_test_1,The Aqueous Solution,5,2,1,          ,1 Lithium 1 Fluor 1 ,1 Lithium 1   ,1 Lithium 2 Oxygen 1 ,          ,,Lithium,Fluor,False,False,False,06-12-2023 09:09:56,
c_test_0,The Exothermic Molecule,5,2,1,1 Lithium 1 Fluor 1 ,          ,          ,          ,1 Lithium 2 Oxygen 1 ,Fluor,Fluor,Nitrogen,False,False,False,06-12-2023 08:38:55,
c_test_94583,The Toxic Concentration,5,2,1,1 Lithium 2 Oxygen 1 ,1 Lithium 1 Fluor 1 ,1 Lithium 1   ,          ,1 Oxygen 1   ,,Nitrogen,,False,False,False,06-12-2023 08:19:24,
c_test_942,The Flammable Element,5,2,1,1 Lithium 1 Fluor 1 ,1 Lithium 2 Oxygen 1 ,1 Lithium 2 Oxygen 1 ,          ,          ,Oxygen,Nitrogen,,False,False,False,06-12-2023 08:11:44,
c_test_955,The Chemical Bond,5,2,1,1 Lithium 2 Oxygen 1 ,1 Lithium 1 Fluor 1 ,          ,          ,          ,Oxygen,Nitrogen,Fluor,False,False,False,06-12-2023 08:02:44,
c_test_986,The Redox Concentration,5,2,1,1 Lithium 2 Oxygen 1 ,1 Lithium 1 Fluor 1 ,1 Nitrogen 1   ,1 Oxygen 1   ,1 Fluor 1   ,Lithium,Nitrogen,,False,False,False,06-12-2023 07:59:31,
